Designator,Comment,Footprint,Part Number
C3 C9,100nF,0603,C14663
C1 C5 C10 C11 C12 C13 C14,100nF/50V,0603,C14663
C2,10uF,1206,C13585
C6,10uF,0603,C19702
C4 C7 C15,10uF/10V,0603,C19702
C8,56pF/50V,0603,C39148
D5,24V,SOD-323,C22619
D3 D4,3.3V,SOD-523,C136161
D1 D2 D6 D7,5V,SOD-523,C266462
D9,Blue/2.8V,LED_0603,C72041
D10,Green/3.3V,LED_0603,C72043
D8,Red/2V,LED_0603,C2286
D11,White/2.9V,LED_0603,C2290
D12,Yellow/2.9V,LED_0603,C72038
L1,10uH,1210,C86069
R13,10,0603,C22859
R5,100k,0603,C25803
R8,10k,0603,C25804
R11 R15,130,0603,C23185
R6,22k,0603,C31850
R1 R2 R3 R7 R9 R10,4.7k,0603,C23162
R12 R14,47,0603,C23182
R4,49.9,0603,C23185
U1,FUSB302BMPX,MLP-14_EP_2.5x2.5x0.5P,C132291
U3,STM32F072C8Tx,LQFP-48_7.0x7.0x0.5P,C80488
U2,TPS54202DDC,SOT-23-6L,C191884
